REGIONE	TIPO	FUNZIONE	MONOMULTI	OPENGG	UTENTIATT_TOT	PATRIMONIO_TOT	PINT_BEF	PINT_AFT	PEST_BEF	PEST_AFT	CONSUL_BEF	CONSUL_AFT	VOL_BEF	TIRO_BEF	DIGITAL_AFT	PIATDIG_AFT	LABO_AFT	ONLINE_AFT	SOCIAL_AFT	ACCESSO_AFT	PRESTITO_AFT
Calabria	Pubblica	Servizi_specializzati	Specialistico	50	50	800	1	1	0	0	0	0	0	1	NO	NO	NO	NO	NO	NO	NO
Calabria	Pubblica	Pubblica_lettura	Multidisciplinare	200	50	2000	1	0	0	0	0	0	4	0	NO	NO	NO	NO	NO	NO	NO
Calabria	Pubblica	Pubblica_lettura	Multidisciplinare	40	0	7000	0	0	1	1	2	2	0	0	NO	NO	NO	NO	NO	NO	NO
Calabria	Pubblica	Pubblica_lettura	Multidisciplinare	1	1	200	1	1	0	0	0	0	2	2	NO	NO	NO	NO	NO	NO	NO
Campania	Pubblica	Pubblica_lettura	Multidisciplinare	150	30	5980	1	1	0	0	0	0	0	0	NO	NO	NO	NO	NO	NO	SI
Campania	Pubblica	Conservazione	Specialistico	220	453	200000	15	13	0	0	0	0	0	0	SI	NO	NO	NO	SI	SI	NO
Campania	Pubblica	Pubblica_lettura	Multidisciplinare	25	15	300	1	1	0	0	0	0	0	2	NO	NO	NO	NO	NO	NO	NO
Campania	Privata	Servizi_specializzati	Specialistico	188	500	60000	0	0	0	0	3	3	0	1	SI	NO	SI	SI	SI	SI	SI
Campania	Pubblica	Pubblica_lettura	Multidisciplinare	5	0	1805	0	0	0	0	0	0	0	0	NO	NO	NO	NO	NO	NO	NO
Campania	Privata	Servizi_specializzati	Multidisciplinare	55	90	1500	3	3	0	0	30	20	15	0	NO	NO	NO	SI	NO	SI	NO
Campania	Pubblica	Pubblica_lettura	Multidisciplinare	36	15	8069	0	0	0	0	0	0	2	0	NO	NO	NO	NO	NO	NO	NO
Campania	Pubblica	Conservazione	Specialistico	60	45	44900	3	3	0	0	0	0	0	0	SI	NO	NO	NO	NO	NO	NO
Campania	Pubblica	Conservazione	Specialistico	60	80	92772	4	4	4	4	0	0	0	0	SI	NO	NO	NO	NO	NO	NO
Campania	Privata	Conservazione	Multidisciplinare	140	40	52000	1	1	1	1	1	1	0	0	SI	NO	NO	NO	NO	SI	NO
Campania	Pubblica	Pubblica_lettura	Multidisciplinare	200	100	14000	4	4	0	0	0	0	4	2	SI	SI	SI	SI	SI	NO	NO
Campania	Privata	Conservazione	Multidisciplinare	180	30	4000	1	1	0	0	0	0	1	0	NO	NO	NO	NO	SI	NO	SI
Campania	Pubblica	Pubblica_lettura	Multidisciplinare	290	110	8813	2	2	0	0	0	0	0	0	SI	NO	NO	NO	SI	NO	NO
Campania	Pubblica	Servizi_specializzati	Multidisciplinare	100	230	70000	1	1	2	2	0	0	3	2	NO	NO	NO	NO	NO	NO	NO
Campania	Pubblica	Pubblica_lettura	Multidisciplinare	72	20	5177	2	2	0	0	0	0	13	2	SI	NO	SI	SI	SI	SI	NO
Campania	Pubblica	Pubblica_lettura	Multidisciplinare	95	10	350	1	1	0	0	0	0	0	0	NO	NO	NO	NO	NO	NO	NO
Campania	Privata	Conservazione	Multidisciplinare	80	38	18000	3	3	0	0	0	0	3	0	SI	NO	SI	SI	SI	NO	SI
Campania	Pubblica	Pubblica_lettura	Multidisciplinare	238	710	31000	2	2	0	0	3	3	3	0	NO	NO	SI	NO	SI	SI	NO
Campania	Pubblica	Pubblica_lettura	Multidisciplinare	140	100	18200	5	3	0	0	0	0	0	0	NO	NO	NO	NO	NO	NO	NO
Campania	Pubblica	Pubblica_lettura	Multidisciplinare	30	0	5000	0	0	0	0	1	1	1	0	NO	NO	NO	NO	NO	NO	NO
Campania	Pubblica	Servizi_specializzati	Multidisciplinare	144	250	5100	1	1	0	0	0	0	0	0	NO	NO	NO	NO	NO	NO	NO
Campania	Privata	Servizi_specializzati	Multidisciplinare	100	15	4288	1	1	0	0	0	0	4	1	NO	NO	SI	NO	NO	NO	NO
